停水原因,停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
學甲區華宗路等汰換管線工程【68106_00120】,【停水區域一】台南市學甲區中山路;中正路;華宗路;新生路,2017-09-25 08:00至2017-10-08 17:00(106年9月25~10月08日上午08時00分至下午17時00分止停水(如遇雨則順延，每日施工完成後恢復供水)。),2017-10-08 17:00以後,067222477,2017/9/25~2017/10/9,726台南市學甲區     
因緊急搶修『台南市柳營區太康里122之9號對面路邊漏水』修理【6A106_00118】,【停水區域一】台南市柳營區太康里,2017-09-25 09:00至2017-09-25 14:00(上午09時至下午14時),2017-09-25 14:00以後,06-6322240,2017/9/25~2017/9/26,736台南市柳營區     
道路漏水【4R106_00281】,【停水區域一】南投縣草屯鎮成功路一段,2017-09-25 09:00至2017-09-25 11:00,2017-09-25 11:00以後,049-2563505,2017/9/25~2017/9/26,542南投縣草屯鎮     
因『南投縣名間鄉濁水村員集路1-13號』『地下漏水』修理【4H106_00069】,【停水區域一】南投縣名間鄉員集路,2017-09-25 09:00至2017-09-25 13:00(上午9點至下午13點),2017-09-25 13:00以後,049-2762076,2017/9/25~2017/9/26,551南投縣名間鄉     
「106年度台中廠分區計量管網建置工程」小區管網封閉確認停水〔非整日停水，僅每日測試時段短暫停水〕，遇雨順延。【4S106_01206】,【停水區域一】台中市西屯區台灣大道三段、青海路二段、河南路二段、至善路、上安路、上仁街、上明一街、上明二街、上明三街等附近一帶巷弄。(上安里);台中市西區五權西路一段、忠明南路、存中街、福人街、大忠南街、精誠二十九街、東興路三段、向上南路一段、向上路一段、精誠路、大同街、向上一街、向上南路一段、向上路一段、精誠路、大忠街、精誠二十三街、精誠二十四街、精誠二十五街、精誠二十七街、精誠二十八街、精誠二十九街、精誠三十街、精誠三十一街等附近一帶巷弄。(大忠里、公正里、公德里);台中市南屯區五權西路一段、東興路二段、精誠路、大墩四街、東興路二段、向上南路一段、精誠路、大墩四街、大墩五街、大墩六街、大墩七街、大同街等附近一帶巷弄。(大誠里、大同里),2017-09-27 08:00至2017-10-04 17:00,2017-10-04 17:00以後,04-22442469.....1910,2017/9/25~2017/10/5,407台中市西屯區     403台中市西區       408台中市南屯區     
因『新北市鶯歌區佳園路3段99巷9號』『(1.9)路邊漏水，請速修。』修理【C6106_00220】,【停水區域一】新北市樹林區佳園路三段99巷,2017-09-25 09:30至2017-09-25 14:30,2017-09-25 14:30以後,26792527.26792224,2017/9/25~2017/9/26,238新北市樹林區     
因『台南市新化區護安街93號』『修漏案件/4.用戶外線漏水：用戶表示該處水溝內漏水，漏水量小，煩請協助。』修理【63106_00317】,【停水區域一】台南市新化區護安街;民生路;中正路;中山路,2017-09-25 08:45至2017-09-25 10:30,2017-09-25 10:30以後,06-5973437,2017/9/25~2017/9/26,712台南市新化區     
彰化-彰化市光復路等汰換管線工程【BS106_00060】,【停水區域一】彰化縣彰化市一心東街1號至145號;一心東街23巷};互助二街42巷,2017-09-25 08:30至2017-09-30 17:30(每日上午8點30分至下午5點30分),2017-09-30 17:30以後,04-7353883,2017/9/25~2017/10/1,500彰化縣彰化市     
因『龍潭區德湖街34鄰路口』自來水管線漏水搶修，影響部份用戶暫時無水，敬請見諒。【2W106_00113】,【停水區域一】桃園市龍潭區梅龍路全;梅龍三街,2017-09-25 09:00至2017-09-25 12:00,2017-09-25 12:00以後,03-4712002,2017/9/25~2017/9/26,325桃園市龍潭區     
配合新北市政府水利局汙水下水道工程施作自來水管線遷移【CH106_00134】,【停水區域一】新北市土城區中央路4段96號-256號,2017-09-25 09:00至2017-09-27 18:00(上午9點至下午6點),2017-09-27 18:00以後,0222655172,2017/9/25~2017/9/28,236新北市土城區     
管線路面漏水搶修(官田里/官田工業區/工業北路)【6C106_00186】,【停水區域一】台南市官田區工業北路含分支道路附近,2017-09-25 10:00至2017-09-25 17:00(10:00~17:00),2017-09-25 17:00以後,06-5721165,2017/9/25~2017/9/26,720台南市官田區     
因『雲林縣斗南鎮阿丹里仁愛路右轉崙子路直走約500公尺處』『修漏案件/1.路面漏水：民眾反映雲林縣斗南鎮阿丹里仁愛路右轉崙子路直走約500公尺處;對面一整排透天;路中漏水;量小;不影響交通;請協助處理』修理【5F106_00045】,【停水區域一】雲林縣斗南鎮阿丹里,2017-09-25 09:05至2017-09-25 12:05,2017-09-25 12:05以後,055972682,2017/9/25~2017/9/26,630雲林縣斗南鎮     
因『屏東縣佳冬鄉羌園村內館路22號門口前』漏水修理【7C106_00173】,【停水區域一】屏東縣佳冬鄉屏東縣佳冬鄉羌園村內館路22號附近一帶,2017-09-25 09:30至2017-09-25 17:00,2017-09-25 17:00以後,08-832-5550,2017/9/25~2017/9/26,931屏東縣佳冬鄉     
彰化-彰化縣伸港鄉自強路等汰換管線工程【BS106_00064】,【停水區域一】彰化縣伸港鄉自強路、中正路、成功路、光明路、東洲路、復興路(施工期間每日短暫局部停水),2017-09-25 10:00至2017-10-20 18:00(每日上午8點至下午6點),2017-10-20 18:00以後,04-7353883,2017/9/25~2017/10/21,509彰化縣伸港鄉     
因『苗栗縣竹南鎮海口里光德路51號』100mm『 管線漏水』修理【3C106_00175】,【停水區域一】苗栗縣竹南鎮海口里.港墘里.開元里 明勝路.光德路.仁德.開元路.海口....地區,2017-09-25 09:10至2017-09-25 11:10,2017-09-25 11:10以後,623500,2017/9/25~2017/9/26,350苗栗縣竹南鎮     
因『宜蘭縣員山鄉金泰路往無名橋方向(金泰路17之1號線)』『修漏案件/1.路面漏水：民眾通報此只有一處地面漏水，過無名橋後的50公尺處，如不清楚漏水點可去電詢問民眾，煩請協助處理』修理【8R106_00278】,【停水區域一】宜蘭縣宜蘭市進士路1之6號到1之47號,2017-09-25 09:00至2017-09-25 12:00,2017-09-25 12:00以後,客服電話1910 深溝廠9233017,2017/9/25~2017/9/26,260宜蘭縣宜蘭市     
因『屏東縣東港鎮東隆里共和街５０－５號』漏水修理【7C106_00174】,【停水區域一】屏東縣東港鎮屏東縣東港鎮東隆里共和街５０－５號附近一帶,2017-09-25 09:30至2017-09-25 17:00,2017-09-25 17:00以後,08-832-5550,2017/9/25~2017/9/26,928屏東縣東港鎮     
埔里鎮西安路2段208號前道路漏水搶修【4D106_00248】,【停水區域一】南投縣埔里鎮牛眠里、福興里、史港里,2017-09-25 09:30至2017-09-25 17:00,2017-09-25 17:00以後,049-2915176,2017/9/25~2017/9/26,545南投縣埔里鎮     
嘉縣水上鄉中庄村汰換管線工程【50106_00076】,【停水區域一】嘉義縣水上鄉中庄村1號至71-124號、中義路823至829號。,2017-09-26 08:00至2017-09-26 18:00(:每日上午8點至下午6點),2017-09-26 18:00以後,0972503183監造、現場人員0981011203,2017/9/25~2017/9/27,608嘉義縣水上鄉     
岡山區中華路等汰換管線工程【76106_00090】,【停水區域一】高雄市岡山區仁壽里;前峰里;中華路;民族路;前峰路一帶,2017-09-27 08:30至2017-10-20 18:00(於9/27至10/20上午8:30至18:00),2017-10-20 18:00以後,07-6222814,2017/9/25~2017/10/21,820高雄市岡山區     
因『宜蘭縣宜蘭市南橋二路與大學路口』『修漏案件/1.路面漏水：』修理【8R106_00279】,【停水區域一】宜蘭縣宜蘭市南橋路.南橋二路,2017-09-25 09:40至2017-09-25 12:40,2017-09-25 12:40以後,9233017,2017/9/25~2017/9/26,260宜蘭縣宜蘭市     
小區封閉測式【5C106_00091】,【停水區域一】嘉義縣東石鄉塭港村,2017-09-25 09:50至2017-09-25 10:50,2017-09-25 10:50以後,053412045,2017/9/25~2017/9/26,614嘉義縣東石鄉     
因豐原區中陽路503巷9號破管搶修【4M106_00256】,【停水區域一】台中市豐原區中陽路503巷,2017-09-25 09:30至2017-09-25 12:00,2017-09-25 12:00以後,25722643,2017/9/25~2017/9/26,420台中市豐原區     
因『台中市豐原區朴子里豐勢路２段１０２１號』『加壓站故障修理』修理【4M106_00257】,【停水區域一】台中市豐原區台中市豐原區台中市豐原區豐勢路一段、豐勢路二段、國豐路、富陽路、朴子街、師範街、豐年路、萬年路、東北街、東仁街、明仁街、明義街、東興街、直興街、明興街、豐原大道二段、水源路、北陽路、中陽路、圓環北路二段、三豐路,2017-09-25 09:30至2017-09-25 15:00,2017-09-25 15:00以後,25722643,2017/9/25~2017/9/26,420台中市豐原區     
因『台中市潭子區得天街35巷26號門口』『漏水』修理【4M106_00258】,【停水區域一】台中市潭子區得天街,2017-09-25 10:00至2017-09-25 15:00,2017-09-25 15:00以後,25722643,2017/9/25~2017/9/26,427台中市潭子區     
長春路與潮陽路口斷管連絡【3A106_00128】,【停水區域一】新竹縣竹東鎮新民路;敦睦街;朝陽路;長春路三段;中和路;五豐;五豐一路;五豐九莊;五豐二路;五豐街;民德路;永康街;勝利路,2017-09-25 13:00至2017-09-25 17:00,2017-09-25 17:00以後,1910 ; 035963356; 035963359,2017/9/25~2017/9/26,310新竹縣竹東鎮     
因『高雄市小港區高坪十三街141號前空地旁』『管漏』修理【71106_00244】,【停水區域一】高雄市小港區高坪十三街附近一帶,2017-09-25 10:00至2017-09-25 13:00,2017-09-25 13:00以後,7321319,2017/9/25~2017/9/26,812高雄市小港區     
中華街10巷17號漏水搶修【C7106_00142】,【停水區域一】新北市泰山區中華街10巷,2017-09-25 10:08至2017-09-25 16:00,2017-09-25 16:00以後,2997480,2017/9/25~2017/9/26,243新北市泰山區     
桃園區大業路二段與健行路配合污水下水道管線遷移作業【22106_00318】,【停水區域一】桃園市桃園區大業路二段與健行路沿線周遭部份區域,2017-09-26 10:00至2017-09-26 16:00,2017-09-26 16:00以後,03-3346127,2017/9/25~2017/9/27,330桃園市桃園區     
台中市沙鹿區六路里南陽路、六路十三街至六路十八街等路段地區可能破管，造成水壓低，目前尚進行檢測改善處中。【4P106_00193】,【停水區域一】台中市沙鹿區六路里南陽路、六路十三街至六路十八街等路段地區及附近巷弄。,2017-09-25 10:00至2017-09-25 15:00,2017-09-25 15:00以後,04-26312127 (0910587305),2017/9/25~2017/9/26,433台中市沙鹿區     
配合雲縣斗南鎮成功路汰換管線工程施工停水【5F106_00046】,【停水區域一】雲林縣斗南鎮東明里;將軍里,2017-09-26 08:00至2017-09-26 18:00(每日上午8點至下午6點),2017-09-26 18:00以後,05-5972682,2017/9/25~2017/9/27,630雲林縣斗南鎮     
因『高雄市鳳山區五甲三路』『漏水』修理【7T106_00481】,【停水區域一】高雄市鳳山區福誠高中、五甲三路、福祥街、五福二路等附近一帶,2017-09-25 10:00至2017-09-25 18:00,2017-09-25 18:00以後,7883714,2017/9/25~2017/9/26,830高雄市鳳山區     
三灣鄉銅鏡村管線汰換工程100mm管線連接【3C106_00176】,【停水區域一】苗栗縣三灣鄉銅鏡村   大銅鑼圈   小銅鑼圈...地區,2017-09-25 10:20至2017-09-25 12:20,2017-09-25 12:20以後,623500    628000,2017/9/25~2017/9/26,352苗栗縣三灣鄉     
配合蘇澳鎮公所北濱汙排水道改善 自來水管遷移工程【8S106_00412】,【停水區域一】宜蘭縣蘇澳鎮學府路1-104號(全部)、學府路117號、學府路105巷(全部)、南安國中監測站,2017-09-25 13:00至2017-09-25 17:00,2017-09-25 17:00以後,1910,2017/9/25~2017/9/26,270宜蘭縣蘇澳鎮     
康寧加壓站蝶閥故障檢修【10106_00020】,【停水區域一】新北市汐止區福德一路、福德二路、福德三路、南陽街、環河街（以上係中興路110巷以後）、康寧街623巷以前、湖東街、湖前街、民族一街、民族二街、民族三街、民族五街、民族六街、明峰街、三民街（全部含各巷弄）,2017-09-26 09:00至2017-09-26 16:00,2017-09-26 16:00以後,02-86478218,2017/9/25~2017/9/27,221新北市汐止區     
因『屏東縣枋寮鄉東海村臨海路２段６巷２２號』漏水修理【7C106_00175】,【停水區域一】屏東縣枋寮鄉屏東縣枋寮鄉東海村臨海路２段６巷２２號附近一帶,2017-09-25 10:30至2017-09-25 17:00,2017-09-25 17:00以後,08-832-5550,2017/9/25~2017/9/26,940屏東縣枋寮鄉     
因『雲林縣斗六市雲南街306號前』『(1.9)路邊漏水，請速修。』修理【5H106_00267】,【停水區域一】雲林縣斗六市雲南街 宏德街 南昌街,2017-09-25 09:00至2017-09-25 12:00,2017-09-25 12:00以後,05-5322362,2017/9/25~2017/9/26,640雲林縣斗六市     
因『宜蘭縣蘇澳鎮馬賽路295號對面』『修漏案件/1.路面漏水：』修理【8S106_00413】,【停水區域一】宜蘭縣蘇澳鎮馬賽路.大同東巷全部,2017-09-25 10:30至2017-09-25 13:30,2017-09-25 13:30以後,0937849872,2017/9/25~2017/9/26,270宜蘭縣蘇澳鎮     
因『屏東縣枋寮鄉新龍村義民路88號』無水修理【7C106_00176】,【停水區域一】屏東縣枋寮鄉屏東縣枋寮鄉新龍村義民路88號附近一帶,2017-09-25 10:30至2017-09-25 17:00,2017-09-25 17:00以後,08-832-5550,2017/9/25~2017/9/26,940屏東縣枋寮鄉     
豐原給水廠機電跳機復歸【4G106_00225】,【停水區域一】台中市石岡區萬興里;萬安里;石岡里;九房里,2017-09-25 10:30至2017-09-25 13:00,2017-09-25 13:00以後,04-25874315或04-25874316,2017/9/25~2017/9/26,422台中市石岡區     
因『屏東縣東港鎮東港漁會托兒所到鎮海宮』無水處理【7C106_00177】,【停水區域一】屏東縣東港鎮屏東縣東港鎮東港漁會托兒所到鎮海宮附近一帶,2017-09-25 11:00至2017-09-25 17:00,2017-09-25 17:00以後,08-832-5550,2017/9/25~2017/9/26,928屏東縣東港鎮     
因緊急搶修『台南市鹽水區後宅里後寮40號』『路面漏水』修理【6A106_00119】,【停水區域一】台南市鹽水區後宅里,2017-09-25 11:00至2017-09-25 17:00(上午11時0分點至下午17時0分),2017-09-25 17:00以後,06-6322240,2017/9/25~2017/9/26,737台南市鹽水區     
嘉義縣民雄鄉中央村往新庄路中80MM破管搶修【5Y106_00146】,【停水區域一】嘉義縣民雄鄉中央村新庄,2017-09-25 10:50至2017-09-25 14:00,2017-09-25 14:00以後,052262806,2017/9/25~2017/9/26,621嘉義縣民雄鄉     
因『台中市西屯區四川東街31號』『路面漏水』修理【4S106_01207】,【停水區域一】台中市西屯區何安里;惠來里;何成里;何厝里;何南里;何仁里  等附近,2017-09-25 10:30至2017-09-25 16:00,2017-09-25 16:00以後,22442469.1910,2017/9/25~2017/9/26,407台中市西屯區     
因大崗山給水廠仁福加壓站故障【77106_00148】,【停水區域一】高雄市仁武區仁福里等公館1.2.3巷橫山1.2.3巷,2017-09-25 10:55至2017-09-25 17:52,2017-09-25 17:52以後,073513332,2017/9/25~2017/9/26,814高雄市仁武區     
因『台中市西屯區廣福路與光明路交叉口』『漏水』修理【4S106_01208】,【停水區域一】台中市西屯區港尾里;廣福里;西墩里;西安里;西平里;鵬程里;永安里;上石里;上安里;至善里;逢甲里;逢福里  等附近,2017-09-25 11:00至2017-09-25 16:00,2017-09-25 16:00以後,22442469.1910,2017/9/25~2017/9/26,407台中市西屯區     
後湖小區封閉測試【58106_00170】,【停水區域一】嘉義市東區後湖里及荖藤里保健街;保忠一街至保忠三街;博東路;嘉北街;嘉南街;台林街;義教街;維新路;;保仁一街至保仁三街;保義路;保愛路;保康路;台斗街;忠孝路;保成路;保順路;文化路;忠孝二街;維新路;許厝庄;義教街;荖藤宅等附近一帶含巷弄,2017-09-25 14:00至2017-09-27 14:00,2017-09-27 14:00以後,05-2779117,2017/9/25~2017/9/28,600嘉義市東區       
因『屏東縣東港鎮船頭里船頭路25-3號』無水處理【7C106_00178】,【停水區域一】屏東縣東港鎮屏東縣東港鎮船頭里船頭路25-3號附近一帶,2017-09-25 11:30至2017-09-25 17:00,2017-09-25 17:00以後,08-832-5550,2017/9/25~2017/9/26,928屏東縣東港鎮     
因『雲林縣四湖鄉施湖村中湖巷2號』『地面漏水』修理【5G106_00062】,【停水區域一】雲林縣四湖鄉施湖村;;,2017-09-25 11:20至2017-09-25 15:20(上午11點20至下午15點20),2017-09-25 15:20以後,05-6982250,2017/9/25~2017/9/26,654雲林縣四湖鄉     
因『苗栗縣通霄鎮通西里海濱桿47號(台電)』『馬路漏水』修理【3E106_00250】,【停水區域一】苗栗縣通霄鎮通西里;通灣里,2017-09-25 11:26至2017-09-25 14:00,2017-09-25 14:00以後,免費客服專線1910；通霄銅鑼營運所037-986206,2017/9/25~2017/9/26,357苗栗縣通霄鎮     
因『花蓮縣花蓮市主權里德安六街63號』『管線地下漏水』修理【9S106_00249】,【停水區域一】花蓮縣花蓮市德安六街,2017-09-25 11:20至2017-09-25 15:20,2017-09-25 15:20以後,038325304,2017/9/25~2017/9/26,970花蓮縣花蓮市     
因『南投縣中寮鄉愛鄉巷愛鄉橋邊』『外線漏水』修理【4B106_00517】,【停水區域一】南投縣中寮鄉永福村;永平村;中寮村;復興村;廣福村;廣興村;崁頂村,2017-09-25 12:00至2017-09-25 17:00,2017-09-25 17:00以後,0492222635或1910,2017/9/25~2017/9/26,541南投縣中寮鄉     
斗南\鎮106年消防栓增設工程【5F106_00047】,【停水區域一】雲林縣斗南鎮光榮路,2017-09-25 13:00至2017-09-25 18:00,2017-09-25 18:00以後,5972682,2017/9/25~2017/9/26,630雲林縣斗南鎮     
因『彰化縣竹塘鄉新廣村光明路新庄橋頭北側』『漏水案件』修理【BH106_00041】,【停水區域一】彰化縣竹塘鄉溪墘村;新廣村;樹腳村,2017-09-25 13:00至2017-09-25 17:00,2017-09-25 17:00以後,04-8960240,2017/9/25~2017/9/26,525彰化縣竹塘鄉     
嘉義給水廠水上淨水場內管線漏水搶修停水【58106_00171】,【停水區域一】嘉義縣水上鄉南和村後寮全部,2017-09-25 10:00至2017-09-25 14:00,2017-09-25 14:00以後,05-2779117,2017/9/25~2017/9/26,608嘉義縣水上鄉     
新埔鎮巨埔里供水延管工程?新舊管線連接【3H106_00096】,【停水區域一】新竹縣新埔鎮巨埔里新龍路,2017-09-25 13:00至2017-09-29 17:00,2017-09-29 17:00以後,03-5552501,2017/9/25~2017/9/30,305新竹縣新埔鎮     
新埔鎮楊新路二段管線修理(埔坪橋)【3H106_00097】,【停水區域一】新竹縣新埔鎮四座里(楊新路一段)、照門里(楊新路二段),2017-09-25 13:00至2017-09-25 17:00,2017-09-25 17:00以後,03-5552501,2017/9/25~2017/9/26,305新竹縣新埔鎮     
五峰鄉桃山村清泉疑似管線漏水【3A106_00129】,【停水區域一】新竹縣五峰鄉桃山村;清泉;桃山,2017-09-25 13:05至2017-09-25 17:00,2017-09-25 17:00以後,1910.5963356,2017/9/25~2017/9/26,311新竹縣五峰鄉     
鶯歌區中湖街140號漏水搶修【C6106_00221】,【停水區域一】新北市鶯歌區中湖街.東湖路,2017-09-25 12:00至2017-09-25 16:00,2017-09-25 16:00以後,26792527.26792224,2017/9/25~2017/9/26,239新北市鶯歌區     
平鎮區莊敬里自強街44號前 150mmPVCP 破管搶修【24106_00167】,【停水區域一】桃園市平鎮區莊敬里-日星街-莊敬街-自強街,2017-09-25 13:20至2017-09-25 17:00,2017-09-25 17:00以後,4789261,2017/9/25~2017/9/26,324桃園市平鎮區     
大埤鄉106年消防栓增設工程【5F106_00048】,【停水區域一】雲林縣大埤鄉嘉興村,2017-09-25 14:00至2017-09-25 18:00,2017-09-25 18:00以後,5972682,2017/9/25~2017/9/26,631雲林縣大埤鄉     
辦理「東區大同路一段(樹林街-林森路)汰換管線工程」停水施工(遇雨順延)【60106_00075】,【停水區域一】台南市東區1.東區府連路146號~226號(雙號側含巷弄)
2.東區大同路一段173號~327號(單號側含巷弄)
3.東區大同路一段329巷(雙側含弄)
4.東區林森路一段1號~91號(單號側含巷弄),2017-09-27 08:00至2017-09-28 18:00(每日上午8點至下午6點),2017-09-28 18:00以後,1910,2017/9/25~2017/9/29,701台南市東區       
因『台中市清水區西寧路16號對面』『地下漏水』修理【4K106_00101】,【停水區域一】台中市清水區西寧路;光華路;文昌路;光復街;中興街;北寧街;董公街,2017-09-25 13:30至2017-09-25 17:30,2017-09-25 17:30以後,04-26222614,2017/9/25~2017/9/26,436台中市清水區     
因『宜蘭縣宜蘭市文化路34號與36號之間』『修漏案件/1.路面漏水：用戶反映此址前方路面漏水，漏水量小無影響交通，煩請相關單位協助』修理【8R106_00280】,【停水區域一】宜蘭縣宜蘭市文化路,2017-09-25 13:40至2017-09-25 16:00,2017-09-25 16:00以後,客服電話1910 深溝廠9233017,2017/9/25~2017/9/26,260宜蘭縣宜蘭市     
嘉義縣民雄鄉興南村建國路三段小區管網測試【5Y106_00147】,【停水區域一】嘉義縣民雄鄉興南村建國路三段,2017-09-25 13:30至2017-09-25 14:30,2017-09-25 14:30以後,052262806,2017/9/25~2017/9/26,621嘉義縣民雄鄉     
平鎮區環南路三段299號漏水修理【23106_00292】,【停水區域一】桃園市中壢區環中東路二段(福州路至自忠二街)、龍岡路二段、合浦街、珠江街、林森路、自忠二街、皓東路、新興里、林森里、明德里;桃園市平鎮區環南路三段(自忠二街至金陵路)、金陵里,2017-09-25 13:55至2017-09-25 15:30,2017-09-25 15:30以後,03-4251506,2017/9/25~2017/9/26,320桃園市中壢區     324桃園市平鎮區     
因二林-106竹塘分區計量管網施工【BH106_00042】,【停水區域一】彰化縣二林鎮西斗里;豐田里;後厝里;西斗里;豐田里;後厝里,2017-09-25 14:00至2017-09-25 17:00,2017-09-25 17:00以後,8960240,2017/9/25~2017/9/26,526彰化縣二林鎮     
因『屏東縣東港鎮興台里中山路93-1號』漏水修理【7C106_00179】,【停水區域一】屏東縣東港鎮屏東縣東港鎮興台里中山路93-1號附近一帶,2017-09-25 14:30至2017-09-25 17:00,2017-09-25 17:00以後,08-832-5550,2017/9/25~2017/9/26,928屏東縣東港鎮     
因『屏東縣東港鎮船頭里嘉新2街寶貝屋』漏水修理【7C106_00180】,【停水區域一】屏東縣東港鎮屏東縣東港鎮船頭里嘉新2街寶貝屋附近一帶,2017-09-25 15:00至2017-09-25 17:00,2017-09-25 17:00以後,08-832-5550,2017/9/25~2017/9/26,928屏東縣東港鎮     
因『高雄市大寮區翁園里翁園路』『漏水』修理【7T106_00482】,【停水區域一】高雄市大寮區翁園路等附近一帶,2017-09-25 14:00至2017-09-25 18:00,2017-09-25 18:00以後,7883714,2017/9/25~2017/9/26,831高雄市大寮區     
配合高雄市政府林園仁愛路拓寬辦理高市林園仁愛路管線汰換新舊管線連接施工停水【7T106_00483】,【停水區域一】高雄市林園區高市林園東林西路(文賢北路~林園北路)等水壓降低或無水,2017-09-26 08:00至2017-09-27 18:00(每日上午8點至下午6點),2017-09-27 18:00以後,07-7883714,2017/9/25~2017/9/28,832高雄市林園區     
因『苗栗縣頭份市東庄里8鄰上庄46之1號』100MM  管線搶修漏【3C106_00177】,【停水區域一】苗栗縣頭份市東庄里  上庄路...等地區。,2017-09-25 14:25至2017-09-25 16:25,2017-09-25 16:25以後,623500,2017/9/25~2017/9/26,351苗栗縣頭份市     
基隆市中山區新生路口100m/m配合市府函管施作【11106_00282】,【停水區域一】基隆市中山區新生路;成功二路;中山一路含各巷、弄等一帶。,2017-09-25 14:45至2017-09-25 18:00(於9月25日下午2點45分至6點),2017-09-25 18:00以後,24252103-59,2017/9/25~2017/9/26,203基隆市中山區     
因『雲林縣大埤鄉妮姑庵68-40號』因80mm『道路漏水』修理【5F106_00049】,【停水區域一】雲林縣大埤鄉南和村妮姑奄,2017-09-25 15:00至2017-09-25 17:30,2017-09-25 17:30以後,05972682,2017/9/25~2017/9/26,631雲林縣大埤鄉     
嘉縣水上鄉中庄村汰換管線工程【50106_00071】,【停水區域一】嘉義縣水上鄉中庄村1-1號至71-9號,2017-09-26 08:00至2017-09-30 18:00(:每日上午8點至下午6點),2017-09-30 18:00以後,0972503183監造、現場人員0981011203,2017/9/25~2017/10/1,608嘉義縣水上鄉     
管線緊急搶修【9D106_00043】,【停水區域一】花蓮縣豐濱鄉靜浦村,2017-09-25 15:00至2017-09-25 18:00,2017-09-25 18:00以後,03-8762058,2017/9/25~2017/9/26,977花蓮縣豐濱鄉     
嘉義縣民雄鄉松山村後山仔23號前50MM破管搶修【5Y106_00148】,【停水區域一】嘉義縣民雄鄉松山村20號附近幾戶,2017-09-25 15:03至2017-09-25 17:00,2017-09-25 17:00以後,0932978332,2017/9/25~2017/9/26,621嘉義縣民雄鄉     
麻豆區謝厝寮小區(斷水試驗)【6C106_00187】,【停水區域一】台南市麻豆區安業里;安東里;安西里;安正里;謝安里;謝厝寮;營後,2017-09-26 08:30至2017-09-26 11:00,2017-09-26 11:00以後,0933275999,2017/9/25~2017/9/27,721台南市麻豆區     
雲林縣二崙鄉台19道路管線汰換施工【5J106_00089】,【停水區域一】雲林縣二崙鄉港後村、港後村(四番地)、油車村、楊賢村、大庄村、義庄村等部分用戶,2017-09-25 08:00至2017-09-30 19:00(上午8點至下午7點(每日施工完畢恢復供水)),2017-09-30 19:00以後,05-5862163,2017/9/25~2017/10/1,649雲林縣二崙鄉     
嘉縣水上鄉中庄村汰換管線工程【50106_00077】,【停水區域一】嘉義縣水上鄉中庄村301-7號至413號,2017-09-27 08:00至2017-09-30 18:00(:每日上午8點至下午6點),2017-09-30 18:00以後,0972503183監造、現場人員0981011203,2017/9/25~2017/10/1,608嘉義縣水上鄉     
疑似苑裡鎮客庄里或中正里內地下漏水，檢測漏中【3E106_00249】,【停水區域一】苗栗縣苑裡鎮中正里;客庄里;,2017-09-25 08:37至2017-09-25 20:00,2017-09-25 20:00以後,037-986206  037-986218,2017/9/25~2017/9/26,358苗栗縣苑裡鎮     
因『台中市霧峰區自立路105號』『外線漏水』修理【4E106_00126】,【停水區域一】台中市霧峰區自立路,2017-09-25 15:40至2017-09-25 16:30,2017-09-25 16:30以後,23393138,2017/9/25~2017/9/26,413台中市霧峰區     
霧台水源導水管斷裂修理【7B106_00060】,【停水區域一】屏東縣霧臺鄉霧台系統全部,2017-09-26 08:00至2017-09-26 15:00,2017-09-26 15:00以後,08-7226170、7220040,2017/9/25~2017/9/27,屏東縣霧臺鄉        
因下營區仁里橋改建400管線新舊管連接導致無水【6C106_00188】,【停水區域一】台南市下營區下營里.公園路.89號.85號117號135號137號165號169號171號179號181號187號工業街2巷9號33號29號25號23號21號15號7號5號,2017-09-26 09:00至2017-09-26 18:00,2017-09-26 18:00以後,06(5721166),2017/9/25~2017/9/27,735台南市下營區     
因『高雄市仁武區灣內里澄信街120巷22號』『修漏案件/5.挖破水管漏水：用戶來電反映此址前面有在進行工程，剛剛有怪手挖破自來水管，漏水量大，但不影響交通，煩請協助處理。(用戶不清楚是哪一個施工單位)』修理【77106_00149】,【停水區域一】高雄市仁武區澄信街,2017-09-25 15:57至2017-09-25 18:58,2017-09-25 18:58以後,073513332,2017/9/25~2017/9/26,814高雄市仁武區     
因『新竹縣湖口鄉湖口村湖中路１２１號前』『修漏案件/4.用戶外線漏水：』修理【3F106_00105】,【停水區域一】新竹縣湖口鄉湖中路;大湖路,2017-09-25 16:00至2017-09-25 17:00,2017-09-25 17:00以後,湖口營運所03-5981603;客服中心:1910,2017/9/25~2017/9/26,303新竹縣湖口鄉     
因『台中市太平區樹德一街73巷55弄3號』 漏水修理【4S106_01209】,【停水區域一】台中市太平區新福里 十甲里 等附近一帶,2017-09-25 16:00至2017-09-25 19:00,2017-09-25 19:00以後,22442469*1910,2017/9/25~2017/9/26,411台中市太平區     
因『台中市潭子區龍興巷21-2號』『漏水』修理【4M106_00259】,【停水區域一】台中市潭子區龍興巷,2017-09-25 16:30至2017-09-25 21:00,2017-09-25 21:00以後,龍興巷,2017/9/25~2017/9/26,427台中市潭子區     
因 高雄市阿蓮區管線系統問題 導致部分路段停水【75106_00128】,【停水區域一】高雄市阿蓮區民生路;民權路;忠孝路;崗山;中正路;中山路;崗山里,2017-09-25 13:00至2017-09-26 03:00,2017-09-26 03:00以後,07-6934819,2017/9/25~2017/9/27,822高雄市阿蓮區     
